Timestamp,X,Y,Z
0,10.7,6.276,7.335
1,8.002,5.334,6.315
2,7.57,7.06,6.119
3,6.707,5.177,7.1
4,6.59,6.629,8.629
5,7.139,4.314,8.002
6,4.981,0.47,9.453
7,4.275,0.649,10.86
8,3.726,1.608,11.06
9,3.295,1.843,12.78
10,5.374,1.294,11.8
11,4.707,1.255,11.1
12,3.491,1.451,10.12
13,3.098,3.177,10.94
14,2.981,3.804,10.55
15,3.295,4.314,10.59
16,2.275,5.844,9.649
17,2.157,4.236,10.78
18,2.314,4.471,10.47
19,-1.65,3.412,9.375
24,-4.64,-3.64,10.63
25,-3.64,-4.64,10.78
26,3.608,-2.64,5.962
27,8.708,-3.64,9.061
28,5.295,-2.64,10.12
29,3.922,0.651,10.08
30,0.706,-4.65,11.57
31,2.432,-1.65,10.39
32,0.745,1.49,10.9
33,-1.65,2.432,12.23
34,1.608,2.432,10.31
35,0.392,2.196,11.25
36,0.647,2.043,-13.6
44,-7.64,1.843,4.354
46,-9.65,0.645,4.314
47,-10.6,-4.65,7.688
48,0.654,-5.65,5.883
49,7.296,-4.64,9.414
50,6.982,0.647,9.924
51,7.217,0.627,8.041
52,4.667,-3.64,8.982
53,2.588,-2.65,0.654
54,0.588,-2.65,13.57
55,1.176,0,10.23
56,0.653,-1.65,10.86
57,7.492,-2.65,10.51
58,5.256,-1.65,10.43
59,6.315,-2.65,9.571
60,3.412,-3.64,12.16
61,6.276,-1.64,9.885
62,6.08,-1.64,10.27
63,7.06,-1.65,9.688
64,6.903,-2.65,8.08
65,5.648,-7.65,8.119
66,8.551,0.647,8.825
67,5.099,0.47,10
68,11.65,15.61,19.22
69,6.197,3.53,9.375
70,5.138,2.745,10.19
71,6.276,1.647,11.21
72,5.021,-4.65,5.138
73,3.765,0.653,7.766
74,4.158,0.627,12.23
75,2.588,-1.65,10.94
76,4.471,0.274,10.82
77,1.882,3.295,10.9
78,2.471,2.275,12.67
79,1.137,3.138,10.63
82,-7.65,-4.64,9.61
83,-9.65,-15.6,13.02
84,-1.65,-9.64,12.82
85,3.883,-13.6,7.531
86,3.726,4.001,6.629
87,6.786,-4.65,10.31
88,1.216,-2.65,12.63
96,-10.6,-14.6,8.551
97,-5.64,0.648,5.766
98,0.823,-9.65,8.198
99,6.707,-1.65,9.139
100,5.648,3.687,7.845
101,6.903,3.412,11.49
102,2.157,-2.64,10.78
5,4.942,5.727,11.25
106,12.39,3.02,7.923
107,10.27,-1.65,7.453
108,8.629,2.549,6.982
109,9.767,3.726,9.963
110,-2.65,-6.64,7.453
111,3.569,0.65,8.276
112,6.903,1.569,9.1
15,3.804,0.784,11.21
6,3.804,0.649,10.43
117,5.452,0.651,10.43
118,4.471,-1.65,11.17
119,6.943,0.588,11.8
120,4.158,1.765,11.21
121,2.667,0.645,11.21
122,2.275,0.784,10.7
126,-9.64,-7.65,12.31
127,-8.65,-8.64,13.72
128,2.706,-8.65,6.707
129,4.314,5.727,4.511
130,6.982,0.652,10.82
132,-4.65,-1.65,13.21
133,-4.64,1.922,10.23
136,2.628,2.196,11.06
142,-12.6,-9.64,9.375
143,-6.64,-3.64,7.884
144,-3.65,-3.65,6.158
145,3.687,0.627,8.629
146,5.57,1.843,7.766
147,4.197,-1.64,9.845
148,3.648,-2.64,13.53
149,3.726,0.235,9.845
150,1.137,0.653,10.35
151,1.137,1.059,10.86
152,1.019,2.039,11.45
160,-6.65,-9.65,6.786
161,0.646,-7.65,5.491
162,0.196,0.654,8.198
163,4.158,0.392,11.02
164,3.216,0.653,11.96
165,0.666,2.432,11.14
166,0.549,3.02,11.37
167,1.294,2.353,11.92
168,1.216,-2.65,10.78
175,-4.64,-10.6,10.12
176,-4.65,-5.64,13.37
177,0.353,-6.65,9.1
178,0.654,0.654,10.63
179,3.961,0.902,6.707
180,5.766,0.274,6.943
181,0.646,0.196,13.1
182,0.823,1.137,13.96
183,0.941,0.784,12.12
184,2.118,0.651,12
185,3.334,-3.65,10.78
186,1.804,-4.65,10.59
188,1.49,-3.65,11.17
189,1.922,-3.64,10.19
190,1.961,-3.65,10.91
196,-1.64,-10.6,12.04
197,-1.65,-7.64,12.94
198,4.118,-7.64,5.844
199,0.941,3.569,8.551
200,4.981,-1.65,9.375
201,5.138,-2.65,10.55
202,2.471,0.646,10.27
