Timestamp,X,Y,Z
1,3.883,-3.65,9.532
2,2.981,-3.64,8.904
3,3.53,-3.65,9.179
4,3.491,-3.65,9.649
5,4.158,-3.65,10.27
6,2.706,-3.65,9.492
7,2.196,-2.65,10.35
8,1.255,-1.64,10.08
9,2.157,-2.64,10.51
10,2,-4.65,10
11,2.157,-3.64,9.806
1,4.393,3.608,9.806
2,4.707,3.412,10.31
3,4.824,3.373,10.43
4,4.667,3.451,10.12
5,4.393,4.589,10.43
6,4.432,2.314,9.335
7,4.864,5.256,9.492
8,4.118,4.55,10.31
9,3.451,4.471,10.47
10,4.432,2.902,9.022
11,3.098,-1.64,13.84
12,2.275,-2.64,15.37
13,2.235,0.645,11.96
14,2.706,0.078,11.41
15,1.961,2.235,11.06
16,1.843,0.509,11.41
17,2.51,0.666,10.9
18,1.686,1.019,11.37
19,1.765,0.862,11.37
20,2.51,1.412,11.37
21,2,0.862,11.33
22,2.079,1.255,11.1
23,2.314,1.059,11.45
24,2.392,0.862,11.53
25,2.706,0.941,11.33
26,2.745,1.019,11.1
27,1.961,1.019,11.61
28,2.785,1.176,11.1
29,5.53,6.629,8.512
30,2.235,6.59,9.924
31,2.471,6.276,9.1
32,2.157,8.002,8.786
33,2.471,6.668,10
34,2.51,5.609,9.649
35,2.353,6.59,11.92
36,5.021,1.019,7.492
37,2.235,-4.65,8.982
38,5.962,1.569,11.72
39,2.275,-1.64,11.92
40,3.491,-1.64,10.59
41,3.53,-2.65,10.9
42,2.981,-1.64,11.33
43,3.02,-1.65,11.02
44,2.785,0.648,10.82
45,3.059,0.651,10.9
46,2.941,-1.65,10.94
47,3.255,-1.65,11.29
48,3.255,0.648,11.21
49,3.922,-1.65,10.78
50,3.726,0.651,10.7
51,3.804,0.649,11.21
52,3.451,0.646,10.66
53,3.491,0.654,11.14
54,3.608,0.651,10.98
55,3.726,0.652,11.06
56,3.765,0.431,10.82
57,3.687,0.078,11.1
58,4.158,0.902,10.7
59,3.961,0,11.1
60,3.961,0.651,11.29
61,4.04,0.654,10.74
62,4.001,0.651,10.98
63,4.001,0.652,11.1
64,4.393,0.117,10.74
