Timestamp,X,Y,Z
11,5.923,-2,9.688
12,4.707,-4.65,9.022
16,2.275,-7.65,7.517
18,-3.65,-9.19,-5.65
20,-4.65,-9.65,2.667
21,-2.64,-7.65,1.372
22,-3.65,-10.6,1.765
23,-2.65,-7.65,0.549
24,-3.64,-7.65,1.333
24,-3.64,-7.65,1.333
31,5.217,-1.64,9.924
32,9.649,-1.65,10.82
33,7.727,0.646,7.609
34,8.472,-3.64,4.001
35,8.982,-4.65,3.53
36,8.629,-4.64,6.354
37,7.296,-4.65,8.002
38,4.707,-4.64,6.943
39,3.569,-7.64,6.982
41,-2.64,-8.64,4.55
42,-2.65,-8.65,3.844
43,-3.65,-9.65,4.981
46,-2.65,-5.65,8.943
47,0.65,-2.65,13.33
48,1.725,-1.64,15.06
49,1.961,0.654,12.82
50,1.333,0.039,9.414
54,0.647,-7.65,8.629
55,-2.64,-8.65,7.453
56,-4.65,-10.6,4.824
57,-2.64,-9.64,2.353
58,-2.64,-8.64,2.118
59,-1.65,-8.65,2.353
62,-2.65,-10.6,4.158
68,0.652,0.745,14.63
69,1.961,0.647,13.25
70,3.726,-1.64,12.43
71,3.255,0.649,11.1
72,4.981,-2.65,9.022
73,5.805,-1.65,10.63
74,6.119,-1.64,11.37
75,7.335,-2.64,8.237
76,5.687,-4.64,5.962
77,3.098,-7.65,5.021
80,-1.64,-8.64,4.354
83,-3.65,-8.64,3.96184
86,-2.64,-6.65,6.825
87,0.645,-5.88,0.666
89,3.177,0.196,13.02
91,3.138,-2.65,11.45
93,3.412,1.294,11.76
94,4.55,0.941,12.78
95,5.099,-1.65,11.37
96,5.805,-1.64,9.885
97,4.942,-5.65,8.041
98,2.745,-8.64,4.824
99,3.098,-8.65,4.354
100,3.726,-6.64,5.021
101,3.608,-6.65,7.531
104,0.653,-7.64,5.805
105,0.647,-9.64,8.316
106,3.255,-2.65,10.23
111,0.078,-2.64,10.86
114,2.941,6.903,13.37
115,4.55,9.218,5.334
116,7.335,11.29,4.707
117,8.512,7.531,7.531
118,9.218,5.099,9.022
119,3.765,4.628,-1.64
120,5.962,-3.65,0.196
121,8.08,-8.65,4.393
122,5.491,-5.64,-3.64
123,12.9,0.353,1.961
124,9.257,1.529,-2.64
125,6.511,-3.64,-3.65
126,4.628,-6.64,0.653
127,3.059,-13.6,5.256
128,5.962,-9.65,2.392
129,11.68,-1.64,2.902
130,14.27,8.865,14.08
131,10,0.196,0.156
132,10.7,3.098,0.647
133,9.924,1.294,0.646
134,11.06,2.432,2.745
135,10.31,-1.65,1.569
136,8.59,-3.65,0.653
137,3.098,-8.64,12.55
138,11.14,0.651,11.8
139,7.649,-2.65,7.766
140,10.63,0.549,4.393
141,8.904,-4.64,6.354
142,4.079,-3.64,2.745
143,1.608,-8.64,7.139
144,2.51,-8.65,5.962
145,0.47,-7.64,6.786
48,0.431,-3.64,8.237
149,1.843,0.649,14.15
151,4.158,0.902,13.61
152,5.962,2.863,11.06
153,7.766,2.588,11.53
154,9.296,1.804,8.629
155,9.296,0.117,10
156,7.766,-1.64,11.25
157,4.354,-3.65,0.431
158,2.157,-1.64,-2.64
159,2.902,-2.65,5.687
60,5.491,-4.64,12.67
163,2.51,-2.65,13.21
164,2,-2.64,11.14
168,2.667,-2.65,12.78
169,1.529,-1.65,11.92
170,0.274,-2.64,10.59
171,1.098,-1.64,11.72
172,-1.65,-4.65,8.708
173,0.653,-5.65,6.001
174,0.196,-7.64,9.61
175,3.02,-6.65,7.963
176,0.745,-7.65,8.629
177,0.47,-7.65,8.904
178,1.255,-7.65,8.943
179,0.654,-9.65,9.492
180,0.392,-11.6,10.78
181,0.353,-7.65,2.471
182,0.651,-1.64,-4.64
183,0.649,-4.65,-2.65
184,-1.65,-8.64,14.31
185,0.431,-7.65,10.27
187,0.823,-5.65,8.119
188,1.137,-5.65,7.57
189,2.471,-4.65,9.218
191,2.667,-2.65,11.1
192,2.745,0.653,12.27
195,1.569,0.549,13.29
197,2.235,-1.65,13.72
198,1.294,0.647,12.55
199,0.156,-2.65,9.649
200,1.294,-2.64,4.667
201,0.862,-5.65,4.511
203,1.686,-4.64,5.727
204,2.667,-4.64,10.23
205,3.098,-2.64,12.55
206,2.745,0.648,13.29
207,2.392,-2.65,16.208
209,2.235,-4.65,11.41
210,0.649,-4.65,11.72
211,0.078,-4.65,2.51
212,0.902,-5.65,3.804
213,1.725,-4.64,11.57
215,1.647,-3.65,10.82
216,1.804,-2.65,12.19
218,1.137,0.649,15.76
219,0.649,-3.64,12.47
220,0.039,-2.64,9.571
221,0.235,-5.64,4.981
222,0.654,0.223,0.627
224,2.549,-5.64,8.159
225,2.588,-5.64,8.512
226,1.765,-3.65,10.51
227,2.079,0.647,12.04
228,2.941,1.216,14.23
229,2.471,0.313,15.06
231,2.079,-1.65,12.08
232,1.765,-4.64,10.35
233,1.019,-4.65,6.237
235,0.431,-4.64,6.864
236,0.431,-4.65,8.943
38,1.647,-1.65,11.49
239,1.608,0.653,12.63
240,1.333,0.862,14.04
241,2.079,1.804,14.82
242,0.862,3.216,13.53
3,1.216,0.653,12.39
244,0.745,-3.65,13.45
245,1.137,-2.64,7.609
246,0.627,-5.65,6.001
248,0.47,-4.65,7.413
249,4.197,-6.65,11.17
51,2.863,1.216,12.16
253,2.392,2.824,13.45
254,0.313,0.654,12.67
262,0.649,-2.65,13.57
264,0.823,1.098,11.96
6,-2.65,-1.65,15.37
267,-2.64,-2.65,12.82
268,0.509,-2.65,12.04
269,2.118,0.647,11.29
270,2.745,-1.65,8.08
271,4.393,-2.65,10.55
272,4.158,-2.64,8.198
273,5.687,-1.65,7.806
274,13.29,7.178,7.649
276,5.923,1.882,9.688
277,-1.65,-5.65,11.06
278,-2.64,-10.6,10.9
281,8.198,9.963,6.158
282,12.7,8.433,3.059
283,10.59,5.295,1.961
284,7.963,2.785,-2.65
285,7.609,3.726,6.276
286,10.23,2.079,3.961
287,9.806,1.216,0.47
288,9.257,2.549,0.652
289,11.29,4.04,0.652
290,10.78,1.255,-1.65
291,10.23,0.627,4.001
292,2.745,-8.64,7.139
293,0.823,-8.64,1.569
294,2,-9.65,0.353
295,2.196,-9.65,1.333
296,2.902,-9.64,2.235
298,2.588,-12.6,8.59
299,-4.65,-10.6,4.511
302,-2.64,-10.6,5.295
304,0,-8.64,6.197
305,0.646,-8.65,5.805
307,0.784,-7.65,7.649
308,3.334,-4.64,10.55
309,4.197,-4.65,10.55
310,5.217,-3.64,9.571
311,4.707,-4.64,11.33
312,4.707,-2.64,9.649
313,2.157,-3.64,10.39314
315,-3.64,-9.64,5.687
319,-2.64,-7.64,3.804
320,-3.64,-9.65,4.785
321,-4.65,-9.64,4.471
322,-2.65,-6.65,4.628
324,-2.64,-9.65,8.276
325,0.313,-5.64,9.1
326,1.294,-4.65,10.82
327,2.51,-3.65,9.963
328,3.138,-2.65,10.86
329,4.903,-3.65,13.37
330,3.569,-3.64,11.61
331,2.549,-2.65,9.453
332,1.098,-5.65,9.139
333,0.706,-7.65,7.57334
335,-3.65,-9.65,4.471
336,-3.64,-9.65,2.667
337,-5.65,-10.6,0.649
338,-3.65,-7.65,0.651
339,-4.64,-8.65,2.432
340,-4.65,-8.64,2.275
341,-4.64,-7.65,3.608
42,-4.65,-6.65,6.707
344,-1.64,-4.65,10.98
345,1.137,1.372,12.82
346,3.059,1.608,13.29
347,4.432,2.549,10.27
348,4.707,2,10.86
349,5.452,3.883,10.31
350,2.941,4.236,8.59
351,7.609,5.256,10.7
352,6.55,1.569,7.923
354,2.51,-6.64,11.57
355,1.608,-8.65,7.649
358,0.117,-8.65,8.198
359,0.649,-7.64,6.511
360,0.651,-7.64,5.06
361,-1.65,-9.65,4.04
362,-1.64,-10.6,3.295
363,-1.64,-8.64,4.55
364,-2.65,-7.64,4.824
365,-1.64,-6.64,6.2366
367,0.652,-5.65,9.296
68,3.373,-1.65,13.14
369,3.373,0.646,12.86
370,2.471,-2.64,11.92
371,0.941,-4.64,8.865
372,2.667,-5.65,9.571
373,2.275,-5.64,10.31
374,0.117,-6.65,8.59
375,0.745,-5.64,8.276
376,2.706,-6.64,7.923
377,2.118,-8.65,6.55
378,1.686,-8.65,7.335
379,0.65,-9.65,7.531
380,0.652,-7.64,7.178
382,0.65,-5.65,7.963
383,0.274,-5.65,10.86
384,1.216,-4.64,10.19
386,0.645,-5.65,9.924
387,0.651,-4.65,10.19
388,0.652,-5.65,9.885
389,-1.64,-6.65,9.414
390,-3.65,-6.64,8.786
