Timestamp,X,Y,Z
18,4.707,1.8,0
1,7.1,-3.64,0.078
2,8.943,-4.64,0.652
3,10.86,-3.65,0
4,9.414,-4.65,0.653
5,9.728,-4.64,2.902
6,10.23,-4.65,4.667
7,7.609,-5.65,6.315
8,19.57,-3.65,12.67
9,4.824,0.654,-3.65
10,12.16,8.198,-5.65
11,6.511,2.785,-7.64
12,4.314,0.862,-7.64
13,6.864,0.651,-5.65
140,0,0,0
1,-8.65,-4.65,2.471
2,-8.65,-4.65,2.628
3,-8.64,-5.65,3.961
4,-8.65,-4.65,4.197
5,-8.65,-4.64,3.883
6,-9.64,-7.65,3.098
7,-6.64,-2.64,6.55
8,-7.64,-3.64,8.08
9,-8.65,-2.64,7.296
10,-7.64,-4.65,7.649
11,-7.64,-3.65,6.04
12,-6.65,-4.65,8.59
13,-6.64,-2.64,8.394
14,-7.65,-3.65,7.492
15,-7.65,-2.64,7.021
16,-7.64,-1.65,6.08
17,-7.64,-2.64,5.766
18,-6.65,-1.65,9.218
19,-12.6,-4.65,4.079
20,-9.65,-1.65,4.158
21,-8.64,-1.64,4.864
22,-10.6,0,5.727
23,-9.65,-1.65,4.903
24,-10.6,-3.65,8.669
25,-7.64,0.235,3.648
26,-8.64,0.649,5.962
27,-8.65,-1.65,7.296
28,-7.64,0.647,5.844
29,-6.64,-1.64,6.629
30,-9.64,-2.65,5.844
31,-8.64,-1.64,5.766
32,-8.65,-1.64,7.609
33,-7.64,-2.64,6.668
34,-7.65,-2.65,5.57
35,-8.64,-1.64,5.413
36,-6.64,0,5.374
37,-8.65,0.653,4.04
38,-9.65,0.649,5.609
39,-6.65,-2.65,3.255
40,-8.65,0.645,4.197
41,-8.64,-1.64,2.941
42,-7.65,-4.65,5.687
43,-7.64,0.902,4.942
63,60.4,0.1,0
1,3.765,0.648,9.806
2,3.726,0.649,10.08
3,5.256,-1.65,10.66
4,5.374,-1.65,10.43
5,5.256,-1.64,9.728
6,4.197,0.649,9.139
7,3.138,0.649,10.9
8,5.53,0.98,10.66
9,4.903,-1.65,11.45
10,2.628,-2.64,10.39
11,3.687,0.653,10.15
12,3.726,-1.65,10.7
13,2.667,-1.65,11.06
14,2.902,0.654,10.74
15,2.549,0.039,11.37
16,2.471,0.078,10.78
17,2.981,0.649,10.9
18,3.02,0.653,10.98
19,3.491,0,10.7
20,3.765,0.117,11.02
21,2.824,0.654,10.94
22,3.02,0.235,10.78
23,2.785,0.274,11.25
24,2.785,0.353,11.02
25,2.785,0.156,10.98
26,3.02,0.078,10.94
27,2.824,0.274,10.98
28,2.824,0.156,10.98
29,2.549,0.431,11.17
30,3.138,0.392,10.86
31,2.824,0.353,11.02
32,3.098,0.196,10.94
33,2.549,0.549,11.14
34,3.334,0.509,10.78
35,2.863,0.549,10.98
36,2.549,0.588,10.98
37,3.373,0.196,10.98
38,2.588,0.902,11.14
39,3.02,0.862,11.06
40,2.745,1.019,11.02
41,2.902,0.902,11.02
42,2.745,0.902,10.86
43,2.902,1.019,10.94
44,2.863,0.941,11.06
45,2.628,1.059,11.06
