Timestamp,X,Y,Z
0,7.884,3.608,7.609
1,7.531,4.236,8.865
2,6.903,2.902,9.885
3,7.06,1.922,9.022
4,5.609,3.608,8.472
5,4.903,5.217,9.806
6,1.882,2.706,12.04
7,2.941,0.274,11.33
8,4.981,0.645,11.17
9,3.844,-3.64,11.14
10,3.255,-3.64,10
11,2.51,-3.65,9.335
12,2.941,-3.65,10.39
13,3.883,-3.65,10.9
14,4.393,-4.64,11.25
15,6.001,-5.64,10.86
16,3.804,-2.65,10.04
17,4.354,-1.64,10.35
18,3.922,-2,9.218
19,3.569,0.627,11.53
20,2.471,0.648,11.49
21,2.51,-3.65,10.74
22,1.843,-2.65,11.02
23,2.941,-3.65,11.8
24,2.039,-2.65,10.19
25,2.706,-1.65,10.39
26,3.255,-2.65,12.08
27,3.569,-2.65,9.963
28,3.295,-1.64,10.43
29,0.666,-2,11.76
30,3.53,-4.31,0.666
32,0.039,0.902,12.59
33,0.649,0.549,12.59
34,-1.65,0.652,12.43
35,-1.65,-1.64,11.5337
3839,0.353,-1.64,12.47
40,-1.65,0.648,11.14
41,0.649,-1.65,11.68
42,0.651,-1.65,10.9
43,0.706,-2.64,10.55
44,2.785,-3.65,11.06
45,2.667,-2.65,11.14
46,3.059,5.962,12.67
47,1.647,5.727,11.29
49,1.137,2.628,9.963
52,-1.64,-5.65,11.17
53,-2.64,-5.65,12.63
54,-3.65,-9.65,10.47
55,1.294,-3.64,10.51
56,4.707,-1.65,9.924
57,3.961,-4.64,8.865
58,4.04,-3.64,9.649
59,2.275,-2.64,10.12
60,0.117,0.784,11.61
61,0.647,3.608,11.25
62,-2.65,0.652,9.845
67,1.255,-3.65,10.78
68,1.882,-3.64,10.51
69,1.882,-3.65,10.9
70,2.549,-2.65,11.06
71,3.569,0.647,10.78
72,3.138,0,10.86
73,2.51,0.651,11.21
74,3.059,0.645,11.37
75,3.295,0.647,11.1
76,3.569,0.651,10.9
77,3.373,3.334,10.12
78,2.314,4.314,11.41
79,0.039,5.413,12.55
80,0.649,2,10.82
81,0.117,-2.65,9.806
82,0.65,-3.64,11.68
83,0.156,-3.65,11.88
84,0.196,-3.64,11.45
85,0.65,-3.64,11.17
86,0.549,-1.65,10.43
87,3.02,-4.65,10.08
88,1.372,-2.64,10.9
89,2,-2.64,10.04
90,1.647,-1.64,11.25
91,2.157,-1.64,11.65
92,3.373,0,11.41
93,4.354,0.941,11.29
94,3.059,2.392,11.37
95,1.412,4.079,10.82
96,0.65,2.432,11.61
97,0.156,0.784,10.99
101,-1.64,-6.65,10
103,-2.65,5.65,10.47
105,-2.65,-5.64,10.08
106,-2.64,-5.65,9.296
107,-1.65,-4.64,10.15
108,0.654,-5.64,9.1
109,0.588,-4.65,10.55
110,1.019,1.019,11.57
111,0.156,1.922,11.57
112,1.059,5.374,10
113,1.843,4.354,10.08
114,0.196,4.864,8.59
115,0.313,2.549,10.12
116,0.392,2.51,11.14
117,0.649,1.922,11.84
118,-2.64,0.651,10
121,-4.65,-3.65,10.04
125,-2.65,-4.65,9.571
126,-3.64,-3.65,10.82
127,-1.65,-2.64,10.35
128,0.627,-2.64,10.63
129,0.392,-2.65,11.29
130,2.471,0.235,10.94
131,4.864,0.649,10.98
132,7.335,-2.65,7.963
133,6.629,-2.65,6.237
134,6.354,-3.65,8.825
135,6.746,-9.65,4.236
136,7.609,-5.64,2.471
137,7.413,-7.64,3.883
138,7.335,-5.65,4.158
139,8.041,-4.64,3.216
140,5.256,1.686,11.68
141,7.021,4.746,10.7
142,0.645,2.628,10.55
143,1.019,1.608,9.257
147,-3.64,-6.65,10.66
148,-2.65,-5.64,9.767
149,0.645,-3.65,10.86
150,1.294,-2.65,10.86
151,2.785,-1.65,10.63
152,3.569,1.333,10.94
153,3.02,1.882,11.02
154,2.785,3.6155,2
156,1.451,4.432,10.59
157,1.569,1.412,11.25
158,0.902,1.216,11.53
159,0.117,2.863,11.65
160,0.666,1.059,11.76
161,0.392,1.372,12.27
162,0.654,-1.64,7.453163
166,-2.65,-2.64,11.21
167,0.588,-6.65,11.37
168,-2.65,-4.64,11.06
169,1.333,-2.64,11.72
170,3.255,0.078,11.25
171,3.255,3.138,10
172,1.804,6.158,9.375
173,0.274,6.55,7.57
175,1.059,3.373,9.022
176,1.098,5.883,10.08
177,0.039,5.609,10.66
178,-1.65,3.098,9.728
179,0.647,0.654,11.96
180,-2.65,-1.65,11.92
181,-1.64,2.079,10.94
184,-4.64,-1.65,8.904
185,-6.65,-2.65,8.904
186,-4.65,-4.65,10.59
187,0.65,0.649,12.47
188,3.138,-5.65,8.747
189,4.079,0.65,9.963
190,4.236,1.059,11.72
191,2.981,3.569,11.21
192,0.235,7.453,9.179
193,-1.65,6.472,9.688
194,0.651,3.648,10.23
195,0.235,4.589,10.9
196,-2.65,3.569,10.27
197,-1.65,0.823,10.04
198,-1.65,-3.65,10.15
200,0.156,-3.64,12.35
201,0.549,-3.64,12.08
202,1.372,-4.64,11.21
203,4.158,-2.65,10.31
204,4.432,-1.65,10.35
205,4.001,2.118,10.59
206,3.059,2.549,11.41
207,0.654,6.001,8.904
209,0.98,5.256,9.061
210,1.176,3.059,10.78
211,0.651,2.941,11.14
212,0.649,3.883,11.1
213,0.647,1.765,12.55
214,0.647,-1.64,9.335
215,-1.65,-4.65,11.02
218,-5.64,-4.64,8.786
219,-4.64,-6.64,9.1
220,-2.65,-4.65,10.86
221,1.569,0.654,12.16
222,1.804,2.549,11.41
223,2.785,0.645,10.82
224,3.295,-5.64,8.629
225,3.961,-6.65,5.06
226,4.118,-3.64,9.767
227,4.236,-3.64,10.55
228,3.765,-4.65,7.963
229,5.334,-7.65,7.335
230,3.765,-8.64,4.903
231,5.334,-1.65,10.19
232,3.961,2.039,11.96
233,2.706,7.845,11.76
234,1.333,5.374,9.924
235,0.823,3.922,9.61
243,-4.65,-5.64,8.198
244,-1.64,-5.64,8.433
245,1.686,-4.64,9.728
246,3.255,-3.65,10.94
247,4.236,2.981,10.04
248,3.138,1.725,10.78
249,3.648,5.374,10.5
251,1.451,5.609,10.63
252,3.098,3.569,10.39
260,-7.65,-4.65,6.864
261,-2.64,-5.64,10.55
262,-1.64,-2.64,12.27
263,0.647,0.654,12.23
264,0.902,8.276,9.649
265,0.654,5.256,8.825
266,0.646,4.354,10.08
267,0.654,2.588,10.86
268,-1.64,8.865,10.86
276,-7.65,-7.65,7.963
277,-5.64,-5.65,9.296
278,0.646,-2.65,10.27
279,1.176,0.706,10.82
280,2.079,0.47,11.33
281,2.667,0.862,10.94
282,3.883,0.98,10.47
283,3.961,0.274,10
295,-4.64,-4.65,8.825
296,-2.65,-3.64,9.532
297,0,-2.64,10.86
298,2.549,-3.64,10.51
299,3.138,-2.65,10.51
303,2.157,1.294,7.57304
313,-4.64,-4.65,6.393
314,-8.64,-2.65,10.63
315,0.654,0.653,10.04
316,0.653,1.322,-4.64
324,-6.65,-7.65,6.943
325,-2.65,-6.65,7.727
326,0.648,-2.65,9.688
327,1.137,-2.64,10.63
328,3.255,1.098,12.94
329,4.707,0.651,10.39
330,5.099,2.079,10
333,0.431,2.628,9.296
334,0.941,3.373,10.55
335,0.649,2.706,12.63
336,1.019,0.274,9.571
337,1.608,-1.64,12.23
338,3.334,-4.65,10.63
339,3.765,-5.65,10.74
340,3.726,-5.64,9.649
341,5.334,-1.64,9.375
342,5.57,-2.64,10.39
345,5.177,-3.65,9.767
346,4.628,-2,9.061
347,2.588,-2.65,10.31
348,1.765,-2.65,11.41
349,2.353,-3.64,9.728
350,3.098,-2.64,11.06
351,4.746,0.654,11.8
352355,-1.64,-8.65,14.98
356,0.196,-12.6,9.924
357,1.647,-2.65,10
358,1.176,6.433,6.864
359,3.687,2.353,9.688
360,0.706,-2,12.67
361,3.059,-1.64,11.68
362,3.138,0.648,12.16
363,2.157,0.47,10
365,1.294,1.922,11.92
366,1.333,0.392,12.47
3371,-7.65,-6.64,11.06
372,-10.6,-8.65,10.15
374,-1.64,-4.64,6.982
375,-1.65,0.784,12.7
376,0.784,5.021,8.159
377,2.51,1.686,10
378,2.079,0.823,13.25
379,0.431,0.706,11.41
380,0.627,0.98,9.649
381,0.156,0.649,11.92
382,2.981,-1.65,14.04
383,1.333,0.654,9.335
384,2.628,1.843,13.29
385,6.668,0.652,7.766
386,6.276,0.646,8.629
387,7.806,0.156,7.492
388,7.178,-1.65,9.375
389,7.217,0.647,9.257
390,6.668,-1.65,9.414
391,5.844,-2,8.865
392,6.197,-1.64,9.61
393,6.119,-1.65,9.022
394,7.492,-2.65,8.943
395,7.57,-1.65,8.943
396,7.139,-2.65,9.571
397,7.1,-2.65,9.218
398,7.296,-1.65,8.708
399,5.648,-1.64,9.924
400,6.472,0.653,9.688
401,5.727,-1.65,9.688
402,7.178,0.651,9.1
403,6.237,0.653,10.74
404,5.962,0.274,10.12
405,7.57,0.784,8.982
406,5.256,0.313,10
407,5.452,0.196,10.35
408,6.511,1.451,9.375
409,5.06,1.333,9.885
410,5.06,1.569,11.33
411,2.588,1.569,10.78
412,5.334,3.687,9.061
413,6.786,2.588,8.394
414,5.06,3.883,9.218
415,6.59,5.53,8.08
416,7.217,3.334,9.806
417,4.393,3.138,8.747
418,4.471,6.433,10.82
419,2.432,7.727,9.885
420,2.392,7.021,5.06
421,0.647,8.394,13.33
422,1.882,-1.65,12.74
423,0.745,2.588,12.31
424,1.294,1.451,11.37
425,1.059,0.98,11.65
426,1.059,1.019,11.61
427,0.902,0.274,11.57
428,1.098,0,11.1
429,1.372,2.235,12.67
430,0.862,0.646,11.65
431,1.019,-1.64,11.14
432,1.176,-2.65,11.1
433,1.216,-2.64,11.02
434,1.608,-1.64,11.25
435,1.137,-1.64,11.25
436,0.98,-1.65,11.53
437,1.216,-1.65,11.37
438,1.294,-1.65,11.41
439,1.216,0.646,11.57
440,1.294,0.647,11.57
